iter	RMSE
164	2.123234852
165	2.122775585
166	2.122240367
167	2.121514949
168	2.120991407
169	2.120734482
170	2.120154628
171	2.119587755
172	2.118843764
173	2.11860511
174	2.117893094
175	2.117631082
176	2.117157492
177	2.116810046
178	2.116252971
179	2.115859522
180	2.11543422
181	2.115290414
182	2.115061429
183	2.114555207
184	2.11440479
185	2.114212501
186	2.113919347
187	2.113738894
188	2.113581931
189	2.113105587
190	2.112322637
191	2.111697156
192	2.111196978
193	2.110751821
194	2.110438678
195	2.110216061
196	2.109943958
197	2.109646954
198	2.109110981
199	2.108218186
200	2.107967451
201	2.107502558
202	2.107113679
203	2.10693877
204	2.106221924
205	2.105796813
206	2.105124353
207	2.104590461
208	2.104298533
209	2.103883895
210	2.103561248
211	2.10340541
212	2.103128547
213	2.10299018
214	2.102485092
215	2.10214066
216	2.101728183
217	2.101189765
218	2.100578004
219	2.100049019
220	2.099603725
221	2.099403158
222	2.098859545
223	2.098677592
224	2.098388198
225	2.097762475
226	2.097503215
227	2.097197786
228	2.09688581
229	2.096628922
230	2.096216052
231	2.095745901
232	2.095359959
233	2.094865814
234	2.094722752
235	2.094256647
236	2.094017105
237	2.093387204
238	2.093060362
239	2.092573078
240	2.092375084
241	2.092146481
242	2.091957195
243	2.091806057
244	2.091278234
245	2.090675445
246	2.089994771
247	2.089893279
248	2.089689654
249	2.089058879
250	2.08878041
251	2.088206404
252	2.087822287
253	2.087575329
254	2.087426172
255	2.087151212
256	2.086797087
257	2.08654273
258	2.086110369
259	2.085901153
260	2.085444756
261	2.085258046
262	2.084972354
263	2.084788876
264	2.084640057
265	2.084397002
266	2.084263593
267	2.083959285
268	2.083755058
269	2.083229778
270	2.082807644
271	2.082414606
272	2.082209712
273	2.082003347
274	2.081608219
275	2.081254368
276	2.08095694
277	2.080605336
278	2.080154417
279	2.079966604
280	2.079307696
281	2.079209413
282	2.078910199
283	2.07823588
284	2.078055684
285	2.077692989
286	2.077457493
287	2.077246879
288	2.076970915
289	2.076646394
290	2.076306185
291	2.076095384
292	2.075842771
293	2.075281385
294	2.075010178
295	2.074439206
296	2.074211567
297	2.074024883
298	2.073798186
299	2.073261291
300	2.073017701
301	2.072776755
302	2.072715112
303	2.072581554
304	2.072268978
305	2.071984814
306	2.071799282
307	2.071243448
308	2.070883355
309	2.070357391
310	2.070138927
311	2.069869042
312	2.069407402
313	2.06915909
314	2.068583782
315	2.068200736
316	2.067924977
317	2.067491771
318	2.06723688
319	2.066961746
320	2.066694875
321	2.066631731
322	2.066471704
323	2.066295651
324	2.06591063
325	2.065711183
326	2.065554528
327	2.065494307
328	2.06496361
329	2.064699205
330	2.064055208
331	2.063992832
332	2.063713296
333	2.06333083
334	2.062916549
335	2.062489935
336	2.062280467
337	2.061953056
338	2.061499134
339	2.061296874
340	2.06100066
341	2.060787368
342	2.06061923
343	2.060277154
344	2.06009999
345	2.059553869
346	2.0593279
347	2.059009374
348	2.058821638
349	2.058501546
350	2.058317488
351	2.058025482
352	2.057599013
353	2.057242591
354	2.057112155
355	2.056731479
356	2.056445037
357	2.056196207
358	2.055882391
359	2.055708116
360	2.055381646
361	2.054927939
362	2.05467168
363	2.054504931
364	2.054189465
365	2.05396108
366	2.053651937
367	2.053492928
368	2.053207465
369	2.052775666
370	2.052542056
371	2.05235621
372	2.051906059
373	2.05156005
374	2.051426951
375	2.051188831
376	2.051059672
377	2.050768654
378	2.050478262
379	2.050347637
380	2.05023764
381	2.050131139
382	2.049816007
383	2.049515474
384	2.049218533
385	2.04906637
386	2.048802621
387	2.048652247
388	2.048474006
389	2.048143077
390	2.047993016
391	2.047824397
392	2.047533364
393	2.047416597
394	2.046995116
395	2.046841287
396	2.046578507
397	2.04622384
398	2.045929969
399	2.045636787
400	2.045303759
401	2.045192402
402	2.044473029
403	2.043569457
404	2.043364942
405	2.043110287
406	2.04293037
407	2.042735587
408	2.042357858
409	2.042064301
410	2.041630832
411	2.041491827
412	2.041446447
413	2.041177554
414	2.040575183
415	2.040377306
416	2.040314434
417	2.040086374
418	2.039569824
419	2.039321939
420	2.039140186
421	2.038866599
422	2.038637552
423	2.03811606
424	2.037990621
425	2.03741489
426	2.037122385
427	2.036899594
428	2.036708087
429	2.036289353
430	2.036025975
431	2.035745326
432	2.035152481
433	2.034684297
434	2.034513096
435	2.034050886
436	2.033817933
437	2.033475584
438	2.033329749
439	2.033095491
440	2.032912842
441	2.032588425
442	2.032291387
443	2.032190629
444	2.032050958
445	2.031829597
446	2.031501846
447	2.031477802
448	2.031123531
449	2.031037223
450	2.030354273
451	2.030347307
452	2.030227703
453	2.029898725
454	2.029555549
455	2.029412675
456	2.02910481
457	2.02893039
458	2.028262536
459	2.027885017
460	2.027503631
461	2.027202508
462	2.027139102
463	2.026829734
464	2.026680793
465	2.026443751
466	2.026323759
467	2.026122964
468	2.025630166
469	2.025008723
470	2.024888189
471	2.024630708
472	2.024221644
473	2.0238478
474	2.023538484
475	2.023255682
476	2.022857546
477	2.022718018
478	2.022501427
479	2.02183898
480	2.021674371
481	2.021359212
482	2.021133808
483	2.020806064
484	2.020719493
485	2.020196887
486	2.019874855
487	2.019676368
488	2.019520448
489	2.019113581
490	2.018760908
491	2.018549202
492	2.018353756
493	2.018248322
494	2.017809342
495	2.017389155
496	2.016972497
497	2.016760108
498	2.016327105
499	2.016096736
500	2.015929506
501	2.015715097
502	2.015414645
503	2.01524556
504	2.014870824
505	2.014670067
506	2.014368334
507	2.014177172
508	2.013854474
509	2.013782504
510	2.013350526
511	2.013224634
512	2.012702858
513	2.012486116
514	2.012288531
515	2.012052238
516	2.011630382
517	2.011356581
518	2.011142523
519	2.01073775
520	2.010315925
521	2.009949374
522	2.009865725
523	2.009527439
524	2.00909293
525	2.008935139
526	2.008634134
527	2.008353527
528	2.007869238
529	2.007650719
530	2.007517209
531	2.007419995
532	2.007186297
533	2.006813699
534	2.00657553
535	2.006490186
536	2.006202397
537	2.005945325
538	2.005437766
539	2.004941236
540	2.004613936
541	2.004578688
542	2.00419441
543	2.004066642
544	2.003978728
545	2.003755507
546	2.003597434
547	2.003466951
548	2.00335362
549	2.002966185
550	2.002739227
551	2.002505779
552	2.002399754
553	2.002271203
554	2.001552365
555	2.001074055
556	2.000934456
557	2.000859389
558	2.000365964
559	1.999862777
560	1.999726373
561	1.99938711
562	1.999188311
563	1.999047551
564	1.998829511
565	1.99844703
566	1.997985142
567	1.99745672
568	1.997385143
569	1.997242688
570	1.997078443
571	1.996571585
572	1.996453366
